outlaw,"無法者・型破りな人


・The outlaw was wanted in several towns for robbery.

・He was an outlaw in the world of art, breaking all the traditional rules.

Banditｰ盗賊
Rebel-反逆者"
fiddly,"面倒くさい・厄介な


・The camera of this smartphone is little fiddly.

・It always requires a code just to login. Very fiddly."
down the stretch,"終盤に


・The Dodgers started to click down the stretch and secured a playoff spot.

・He performed well down the stretch."
click,"カチッと
うまくいく
かみ合う


・He clicked his heels together and saluted the officer.

・I heard the door lock click.

・The team started to click after practicing together.

・We clicked immediately after we met.

・It all clicked when I saw the diagram."
"in part, 〜","ひとつには、〜


•Humans create complex institutions, in part, because of high intelligence."
from scratch,"ゼロから


・He had built his business from scratch."
go down in history,"歴史に残る


I am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation."
score,"20


Four score and seven years ago"
sear,"焦がす
焼く


Black slaves were seared in the flames of withering injustice."
cripple,"不自由にする
身体障害者(差別的な表現)


Slave’s life is still crippled by the manacles of discrimination."
hallow,神聖な（場所）
crack O up,"~を笑わせる(slung)


You crack me up"
hold back,"抑える・堰き止める


She tried to hold back her tears
Don’t hold back the truth from me 
Fear held him back from taking the risk"
tranquil,"静かな


There would be no tranquillity until they are granted their citizenship rights"
threshold,"玄関口
しきい値・敷居


had a high threshold for pain"
deed,"行為
証書"
hatred,憎しみ
on the high plane,高い水準で
militancy,闘志
engulf,"飲み込む
巻き込む

A white blood cell can engulf the foreign intruders"
sweltering,"うだるような(暑さの)


It’s sweltering outside"
righteous,正義の
mindful of,"〜に気づいて・〜を念頭に置いて


Be mindful of how you use your power"
fresh from college,"〜から来たばかりの
出たばかりの


fresh from college"
redemption,救い・償い
wallow,"転げ回る
耽る
苦しんでのたうち回る


wallow in mud 
wallow in pleasure 
wallow in sorrows"
missionary,"布教の・伝導の
宣教師

missionary work"
municipal,"市の・町の

a municipal council"
phychology,藻類学
Watch your tongue,言葉に気をつけろ
fastidious,気難しい
ignorance is bliss,知らぬが仏
put oneself together,我に返る
Don't tear yourself,我を忘れるな、stay calm
discover a self,自分の一面を見つける
sound(形),"健全な

sound body sound mind"
affinity,"親近感

feel/have an affinity with(～との共通点や親しさ)/for(～に対する好みや親近感)"
incessant,"絶え間ない

in(否定)-cease(止む)"
on the same page,"意見が一致している
have the same idea

we are on the same page"
pitfall,隠れた危険
massacre,"大量虐殺 
slaughter"
replenish,"拡充させる
回復させる"
painstaking,"徹底的な

painstaking research"
chemotherapy,化学療法
anestesia,麻酔
advertently,意図的に
bastion,砦、要塞
treason,反逆
concession,譲歩、妥協
presecutor,検察
reservoir,貯水池
one-off,"一回限りの
一時的な

one-off event
単発イベント"
abiding,永続的な
treason,反逆
clamp down,"(-on)
弾圧する
取り締まる
clamp down on bullying incidents"
usurp the throne,"王位を簒奪する
ascend the throne"
potent,強力な
