時めく","栄える
寵愛を受ける


かくあやしきひとの、いかでときめき給ふらむ
このような身分の低い人がどうして時運に乗って栄えていらっしゃるのか"
"めざまし","気に食わない
（あきれるほど）すばらしい


目ざましき者におとしめそねむ
気に食わない者として見下し嫉妬する"
"だに","〜さえ
せめて〜だけでも


だにすらさえも
さえまでも"
"いまひとりの","もう1人の"
"かねてより","あらかじめ"
"うらめし","残念だ
恨みに思う"
"かたちをかへる","出家する"
"後ろやすし","心から信頼できる
心配がいらない"
"せきあふ","（涙や感情を）こらえる
（流れなどを）堰き止める"
"絶ゆ","（手紙や交流が）途絶える
死ぬ 亡くなる"
"さらに
(~ず)","いっそう
全く〜ない"
"つつまし","気が引ける
気恥ずかしい
遠慮される"
"いたはる","気を使う
大切にする"
"よに","決して〜ない"
"ほど","程度
時
身分
場所
様子"
"おぼつかなし","ぼんやりした
気がかりだ
待ち遠しい"
"ねびまさる","大人びて立派になる"
"例ならず","普通でない"
"ぞかし","〜であるよ
なのだよ"
"御前なる人","貴人の側近
御前の女房"
"聞こえさす","申し上げる
お手紙を差し上げる"
"袖をしぼる","涙を流す"
"なのめなり","普通だ
いい加減だ"
"さこそ","（肯定的）さぞかし
（否定的）〜といっても
そうはいっても"
"世に知らぬ","この世に比類がないほどの"
"うつし","正気だ"
"よさまなり","良い様子だ"
"いひなす","ことさらに言い立てる"
"おろかなり","並一通りだ"
"こうず","疲れる"
"すまふ","争う
辞退する"
"こころづくし","物思いをすること"
"またなし","この上ない
二つとない

またなくあはれなるものは、"
"夜夜","毎晩"
"むつかし","不快だ
煩わしい"
"らうらうじ","巧みだ
洗練された"
"あさまし","驚きあきれる"
"すさまじ","興醒めだ"

